"captured_at_local","plan_id","owner","task_count","open_count","in_progress_count","completed_count","with_due_date_count","overdue_open_count","assigned_count","evidence"
"2026-06-16T17:55:35","0EqWFYecNkqLi4gQti_8TmUAA9vd","cb038239-ad04-47fc-9224-95af3bd44149","1199","60","102","1037","646","49","1172","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:36","7iAMyh3QwUGOJr8PmZZfsmUAALXC","55016a48-d830-4f31-a1d0-a44326a8245b","5","5","0","0","5","5","0","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:36","AxuiDwC-30qNw3xdzBgLy2UAD568","68549ba5-9cbd-4f40-9dd2-5def0c53dc40","24","11","4","9","1","1","23","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:37","AzhmReWULEKJvCOmysPA4mUABUAR","cb038239-ad04-47fc-9224-95af3bd44149","51","6","1","44","37","3","49","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:39","BrccwJEcAU26c7bC4qKL2mUADUWA","cb038239-ad04-47fc-9224-95af3bd44149","755","67","84","604","368","80","747","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:40","DUmQ7w8n_U63kjDn4vzGSmUAFhQK","cb038239-ad04-47fc-9224-95af3bd44149","17","3","5","9","12","3","16","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:40","Ej_zojaE-EaJVS8jCMcdxmUACtqs","cb038239-ad04-47fc-9224-95af3bd44149","16","9","1","6","11","7","16","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:41","FQHMhA1pQUWFyVwh_aq9tGUAAia_","55016a48-d830-4f31-a1d0-a44326a8245b","22","7","8","7","10","8","10","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:41","IKndQwiJtkOBELmAPyHL8GUAAUFm","55016a48-d830-4f31-a1d0-a44326a8245b","0","0","0","0","0","0","0","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:42","Io7bzP-FrU-XduYx7xJhZWUAAy8I","55016a48-d830-4f31-a1d0-a44326a8245b","0","0","0","0","0","0","0","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:43","PYk4OA1ZqU-9vNeZ5pk0hWUAFNKJ","cb038239-ad04-47fc-9224-95af3bd44149","227","29","21","177","104","4","222","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:43","PvJoIHWJoEuLkyo7fC8Qf2UAC-aD","55016a48-d830-4f31-a1d0-a44326a8245b","2","2","0","0","2","2","2","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:44","RrNuitvVVUOM_0jaNeyGtmUAGAbX","55016a48-d830-4f31-a1d0-a44326a8245b","6","6","0","0","3","3","0","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:44","ZxDF_S2twkibHk7acnPk92UAC6su","cb038239-ad04-47fc-9224-95af3bd44149","14","13","0","1","0","0","0","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:45","_Jh4Fywq6Uad4RjqTf5wtWUAH4wB","68549ba5-9cbd-4f40-9dd2-5def0c53dc40","71","69","0","2","70","69","70","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:45","jBSADzd2rk-J4HBAY0t5HmUABEgl","cb038239-ad04-47fc-9224-95af3bd44149","27","2","0","25","13","0","23","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:46","kLuBZr-8Ak61SMxqcTFm0mUAG8E-","cb038239-ad04-47fc-9224-95af3bd44149","61","30","4","27","24","3","58","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:46","lYq-T1TEq0aze2L4gQqufGUAGnQ-","55016a48-d830-4f31-a1d0-a44326a8245b","5","5","0","0","5","5","0","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:47","qnbKr14GHEaTqOXVSPn6R2UAHtG7","cb038239-ad04-47fc-9224-95af3bd44149","3","3","0","0","2","2","3","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:47","r16lMWUBw0ekie5oQSJO4GUAFEB_","55016a48-d830-4f31-a1d0-a44326a8245b","5","5","0","0","5","5","0","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:48","s8riYwVVi0Wda64rNWLkpGUAFaB_","68549ba5-9cbd-4f40-9dd2-5def0c53dc40","1","1","0","0","0","0","1","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:49","sAtoDZmMpk2Hk_w1pmR_yGUADw9A","cb038239-ad04-47fc-9224-95af3bd44149","4","3","1","0","0","0","4","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:49","tVbgRUxwpkSPhclTp5w8CGUAHS_9","cb038239-ad04-47fc-9224-95af3bd44149","20","2","3","15","12","1","19","graph_planner_plan_tasks_sanitized_counts"
"2026-06-16T17:55:50","yV3-yZlVb0KsIdfgbegMLGUADqw3","f379b0a0-e58d-4aa7-9958-89279b2a5eb6","95","80","9","6","49","43","68","graph_planner_plan_tasks_sanitized_counts"
