connector_or_surface,source,status,allowed_actions,blocked_actions,gate_required,owner,postcheck,evidence,status_detail
GitHub CLI,local+connector,AUTH_PRESENT_NO_WRITE,"status,read PR/issues when ordered","push,PR,workflow_dispatch,labels without gate",YES,faraday.integration_guard,"git status; gh safe status","gate packet/readback","code_repository active in Data Analytics preflight"
Microsoft Teams,Data Analytics connector,CONNECTED_ON_DEMAND,"read when workflow needs source","send message,channel mutation",YES,faraday.integration_guard,"readback with no write","connector evidence","team_communication active"
Microsoft SharePoint,Data Analytics connector,CONNECTED_ON_DEMAND,"read docs when workflow needs source","write,list mutation,permission change",YES,faraday.integration_guard,"readback with no write","connector evidence","company_docs active"
Local workbooks CSV inventories,Data Analytics manual source,CONNECTED_READ_OK,"read local files,analyze,report","external upload,live sync",NO,codex.workspace_guardian,"metadata/sentinel","local source inventory","structured_data active via local sources"
OpenAI Docs,openai-docs,CONFIG_PRESENT_NOT_EXECUTED,"manual fetch,official docs lookup","API write,costly live calls",YES_FOR_REMOTE_DOCS,tech.reference_librarian,"docs citation/readback","manual cache path","manual refreshed locally"
OpenAI API,openai-api-troubleshooting,BLOCKED_NEEDS_SECRET_SAFE_BINDING,"classify concrete error after request","create key,print key,API call without gate",YES,faraday.integration_guard,"no secret printed","error/readback if any","no API request executed in this delta"
ChatGPT App Submission,openai-developers skill,ON_DEMAND_GATED,"inspect MCP server code,generate submission json when target exists","invent behavior,edit hints without approval",YES,tech.reference_librarian,"submission findings","target repo evidence","no MCP app target selected yet"
VS Code Insiders,local IDE,CONNECTED_READ_OK,"version,status,extension inventory","clear storage,disable extensions,mutate settings without backup",YES_FOR_WRITE,codex.workspace_guardian,"code-insiders status","IDE inventory","version 1.126.0-insider"
OpenAI ChatGPT VS Code extension,VS Code Insiders,CONFIG_PRESENT_NOT_EXECUTED,"locate extension,status","mutate extension config,cloud delegate without gate",YES,codex.workspace_guardian,"extension path/status","VS Code inventory","openai.chatgpt present"
Azure MCP VS Code extension,VS Code Insiders,GATED_NOT_EXECUTABLE,"inventory only","MCP execution,Azure mutation",YES,anubis.frontier_guardian,"no MCP execution","extension inventory","ms-azuretools.vscode-azure-mcp-server present"
Power Platform VS Code extension,VS Code Insiders,GATED_NOT_EXECUTABLE,"inventory,pac status safe","flow execution,Dataverse write,Power Platform mutation",YES,faraday.integration_guard,"PAC no-write check","extension/process inventory","powerplatform-vscode present; pac process observed"
PAC Dataverse,local tool,GATED_NOT_EXECUTABLE,"auth/status/read with explicit gate","solution import/export,table mutation",YES,faraday.integration_guard,"PAC readback","Dataverse gate packet","read/write separated"
MCP general,Codex config,GATED_NOT_EXECUTABLE,"config read","server execution,tool calls,OAuth login without owner",YES,anubis.frontier_guardian,"sentinel guard","MCP triage","no MCP execution in plan"
Codex Cloud,Codex surface,GATED_NOT_EXECUTABLE,"documented status only","cloud execution,sync,remote mutation",YES,anubis.frontier_guardian,"no remote task","gate packet","not opened by plan"
