repo,path,workflows,c_snapshot,c_audit,c_divergence,c_reconcile,c_adjust,c_validate,c_evidence,estado_g7,cobertura,decision,brecha
universo-rey/projec-cdx,C:/Users/enzo1/PROJEC CDX,"build-graph; codeql; codex-governed; meta-validate; promote; quality",SI,SI,SI,SI,SI,SI,SI,COMPLETO,7/7,FUENTE_EXPLICITA_G7,"ninguna critica; usar como referencia canonica"
universo-rey/agents-root,C:/CEO/agents,NO,NO,NO,NO,NO,NO,NO,NO,AUSENTE,0/7,EXTENDER_BASELINE,"sin workflow ni ciclo G7 detectable"
universo-rey/codex-root,C:/Users/enzo1/.codex,NO,NO,SI,SI,SI,SI,SI,SI,PARCIAL,5/7,RECONCILIAR_COMO_CAPA_LOCAL,"sin workflow repo; capacidades viven como configuracion/skills locales"
universo-rey/cabina-universal-d,C:/Users/enzo1/Documents/GitHub/cabina-universal-d,"active-governed-execution-validation; cabina-validation; dataverse-drift-detection; dataverse-*; sdu-*",NO,SI,SI,SI,SI,SI,SI,PARCIAL,6/7,RECONCILIAR,"flujo G7 implicito fuerte; falta snapshot pre-ejecucion comun"
SeshatSgin/cdf-soluciones,C:/Users/enzo1/Documents/GitHub/cdf-soluciones,cdf-agent-versioning-ci,NO,SI,SI,SI,SI,SI,SI,PARCIAL,6/7,RECONCILIAR,"validacion/evidencia presentes; falta snapshot formal"
SeshatSgin/jara-consultores,C:/Users/enzo1/Documents/GitHub/jara-consultores,jara-governed-ci,NO,SI,SI,NO,SI,SI,SI,PARCIAL,5/7,EXTENDER,"falta reconciliacion explicita y snapshot formal"
universo-rey/microsoft-agents-governed-lab,C:/Users/enzo1/Documents/GitHub/microsoft-agents-governed-lab,"cd-samples; pullrequestlabeler; tge-governed-lab-validation",NO,SI,SI,SI,SI,SI,SI,PARCIAL,6/7,RECONCILIAR,"flujo lab con validacion; falta snapshot comun"
SeshatSgin/modo-on-foundation,C:/Users/enzo1/Documents/GitHub/modo-on-foundation,policy-validate,NO,SI,SI,SI,SI,SI,SI,PARCIAL,6/7,RECONCILIAR,"policy validation cubre parte G7; falta snapshot comun"
universo-rey/organizacion,C:/Users/enzo1/Documents/GitHub/organizacion,"capability-ledger; codex-dry-run; secret-scan; validate-controlplane",NO,SI,SI,SI,SI,SI,SI,PARCIAL,6/7,RECONCILIAR,"tiene auditoria/seguridad/capability ledger; falta snapshot formal"
SeshatSgin/sdu-canon,C:/Users/enzo1/Documents/GitHub/sdu-canon,validate-sdu,NO,SI,SI,SI,SI,SI,SI,PARCIAL,6/7,RECONCILIAR,"canon validado; falta snapshot formal"
SeshatSgin/seshat-bootstrap-sdu-cn,C:/Users/enzo1/Documents/GitHub/seshat-bootstrap-sdu-cn,validate,NO,SI,SI,SI,SI,SI,SI,PARCIAL,6/7,RECONCILIAR,"validacion Seshat; falta snapshot formal"
universo-rey/Sgin,C:/Users/enzo1/Documents/GitHub/Sgin,NO,NO,SI,NO,SI,SI,SI,SI,PARCIAL,4/7,EXTENDER,"sin workflows locales detectados; capacidades documentales fragmentadas"
SeshatSgin/sgin-cumplimiento,C:/Users/enzo1/Documents/GitHub/sgin-cumplimiento,NO,NO,NO,NO,NO,NO,NO,NO,AUSENTE,0/7,EXTENDER_BASELINE,"sin workflow ni ciclo G7 detectable"
SeshatSgin/tcu-agentic-runtime-control,C:/Users/enzo1/Documents/GitHub/tcu-agentic-runtime-control,NO,NO,SI,NO,NO,SI,SI,NO,PARCIAL,3/7,EXTENDER,"validacion tecnica parcial; falta evidencia y reconciliacion"
SeshatSgin/tge-agentic-runtime-control-escribania,C:/Users/enzo1/Documents/GitHub/tge-agentic-runtime-control-escribania,NO,NO,SI,NO,NO,SI,SI,NO,PARCIAL,3/7,EXTENDER,"validacion tecnica parcial; falta evidencia y reconciliacion"
SeshatSgin/torre-gemela-escribania,C:/Users/enzo1/Documents/GitHub/torre-gemela-escribania,sdu-cn-validators,NO,SI,SI,SI,SI,SI,SI,PARCIAL,6/7,RECONCILIAR,"validadores SDU-CN y evidencia; falta snapshot formal comun"
