connector_id,surface,evidence,status,allowed_without_gate,blocked_without_gate,postcheck
github_cli,GitHub CLI,"gh present at C:\Users\enzo1\AppData\Local\Microsoft\WinGet\Links\gh.exe",CONFIG_PRESENT_NOT_EXECUTED,"version/status/read only when ordered","push,PR,workflow_dispatch,labels,remote write","git status; gate readback"
pac_dataverse,Dataverse/PAC,"pac present at C:\CEO\tools\pac\microsoft.powerapps.cli.2.8.1\tools\pac.exe",CONFIG_PRESENT_NOT_EXECUTED,"version/auth status/read only with gate","solution import/export,table mutation,Dataverse write","Dataverse gate postcheck"
openai_docs,OpenAI Docs,"Codex manual cache refreshed in prior delta; openai-docs skill available",CONNECTED_READ_OK,"manual/docs lookup","OpenAI API call,secret/key creation","source citation/readback"
openai_developers,OpenAI Developers,"chatgpt-app-submission and openai-api-troubleshooting skills available",GATED_ON_DEMAND,"inspect target MCP server; classify concrete API error","invent app behavior,API live without gate,print key","target evidence"
data_analytics,Data Analytics,"preflight present; PROJEC CDX semantic layer registered",CONNECTED_READ_OK,"local workbooks, CSV, readbacks, SharePoint/Teams/GitHub on demand","warehouse/live connector read without workflow need","preflight + source evidence"
vscode_openai_chatgpt,VS Code Extension,"openai.chatgpt located under .vscode-insiders",CONFIG_PRESENT_NOT_EXECUTED,"IDE integration/status","cloud delegate,settings mutation","IDE status"
vscode_github,VS Code Extensions,"github-actions and pull-request extensions located",GATED_ON_DEMAND,"read/status when ordered","PR create/merge/workflow dispatch","GitHub gate"
vscode_powerplatform,VS Code Extension,"Power Platform extension located; pac process observed previously",GATED_ON_DEMAND,"inventory/status","flow execution,Power Platform mutation,Dataverse write","Power Platform gate"
vscode_azure_mcp,VS Code Extension,"Azure MCP extension located",GATED_ON_DEMAND,"inventory/config read","MCP execution,Azure mutation","MCP gate"
microsoft_365_surfaces,Microsoft 365,"Teams/SharePoint lanes active via Data Analytics context",GATED_ON_DEMAND,"read when workflow requires source","SharePoint write,Teams write,permission mutation","Microsoft gate"
